idea_id,idea_title,category,audience,status,hook_output,caption_output,canva_format
1,Mobile car detailing for busy professionals,local service,working professionals,pending,,,
2,Airbnb photography side hustle,creative services,property owners,pending,,,
3,LinkedIn ghostwriting for dentists,b2b marketing,dental practices,pending,,,
4,Pickup basketball highlight reels,media,local athletes,pending,,,
5,Meal prep service for new parents,local service,families,pending,,,
6,Resume optimization for nurses,career services,healthcare workers,pending,,,
7,Weekend junk removal,local service,homeowners,pending,,,
8,Instagram content packs for realtors,marketing,real estate agents,pending,,,
9,Notion templates for MBA students,digital product,students,pending,,,
10,Move-out cleaning for renters,local service,apartment renters,pending,,,
